#Parameters = {M=2; N=57.75; a=0.4; b=0.81; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0025; wgr6=1.625}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
103.33999633789	-17.140990488759
103.44999694824	-16.660767459013
103.55999755859	-16.424685996239
103.66999816895	-16.440986886575
103.77999877930	-16.742827667524
103.88999938965	-17.383551350502
104.00000000000	-18.438972847300
104.11000061035	-20.019298518338
104.22000122070	-22.290820410817
104.33000183105	-25.458644812472
104.44000244141	-29.088453228802
104.55000305176	-29.294606983881
104.66000366211	-26.064813056650
104.76999664307	-23.245609394590
104.87999725342	-21.236344000105
104.98999786377	-19.806077112590
105.09999847412	-18.776060745614
105.20999908447	-18.042819878368
105.31999969482	-17.558526214220
105.43000030518	-17.314713650581
105.54000091553	-17.329658604544
105.65000152588	-17.639902174129
105.76000213623	-18.297456179738
105.87000274658	-19.374028277099
105.98000335693	-20.974204589630
106.08999633789	-23.258343122741
106.19999694824	-26.433153200743
106.30999755859	-30.135427877679
106.41999816895	-30.533018100455
106.52999877930	-27.256572077602
106.63999938965	-24.316884136250
106.75000000000	-22.172716245535
106.86000061035	-20.597963448885
106.97000122070	-19.424869781895
107.08000183105	-18.565035415874
107.19000244141	-17.982843203788
107.30000305176	-17.674401955546
107.41000366211	-17.653788014691
107.51999664307	-17.945674690521
107.62999725342	-18.583223849285
107.73999786377	-19.610287308646
107.84999847412	-21.087012862207
107.95999908447	-23.094906069024
108.06999969482	-25.708480988084
108.18000030518	-28.703836223490
108.29000091553	-30.326688991187
108.40000152588	-28.694080274436
108.51000213623	-26.024511673007
108.62000274658	-23.725976431863
108.73000335693	-21.916454773023
108.83999633789	-20.520777257958
108.94999694824	-19.481606102799
109.05999755859	-18.769323248392
109.16999816895	-18.370421522949
109.27999877930	-18.278813736109
109.38999938965	-18.491340998255
109.50000000000	-19.006114886426
109.61000061035	-19.823142390202
109.72000122070	-20.947874343884
109.83000183105	-22.399242498671
109.94000244141	-24.221849020256
110.05000305176	-26.484885308807
110.16000366211	-29.143287721678
110.26999664307	-31.205162137233
110.37999725342	-30.334122774322
110.48999786377	-27.557249877735
110.59999847412	-24.951704111466
110.70999908447	-22.932780557316
110.81999969482	-21.452114227766
110.93000030518	-20.422263038600
111.04000091553	-19.771147835654
111.15000152588	-19.440762845041
