#Parameters = {r=0.1; M=2; N=57.75; a=0.4; b=0.75; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0004; wgr6=1.625}
#"Frequency / GHz"	"S2,1 (1) [Magnitude / dB]"
#---------------------------------------------
80.900001525879	-32.739871953127
81.010002136230	-32.719988577836
81.120002746582	-32.699283808499
81.230003356934	-32.677740916150
81.339996337891	-32.655351295531
81.449996948242	-32.632102749125
81.559997558594	-32.607997239558
81.669998168945	-32.583029894280
81.779998779297	-32.557196402164
81.889999389648	-32.530487753684
82.000000000000	-32.502888554977
82.110000610352	-32.474376305867
82.220001220703	-32.444926259751
82.330001831055	-32.414514613890
82.440002441406	-32.383122300627
82.550003051758	-32.350735235144
82.660003662109	-32.317341718144
82.769996643066	-32.282935549488
82.879997253418	-32.247510150871
82.989997863770	-32.211051591242
83.099998474121	-32.173541898386
83.209999084473	-32.134955428166
83.319999694824	-32.095266079213
83.430000305176	-32.054441655159
83.540000915527	-32.012462384340
83.650001525879	-31.969302571612
83.760002136230	-31.924947590015
83.870002746582	-31.879384794576
83.980003356934	-31.832599178012
84.089996337891	-31.784569578333
84.199996948242	-31.735271324210
84.309997558594	-31.684672503405
84.419998168945	-31.632735599116
84.529998779297	-31.579425164014
84.639999389648	-31.524709555785
84.750000000000	-31.468558887461
84.860000610352	-31.410949206977
84.970001220703	-31.351858190168
85.080001831055	-31.291259518230
85.190002441406	-31.229122649941
85.300003051758	-31.165410672592
85.410003662109	-31.100080157705
85.519996643066	-31.033085153410
85.629997253418	-30.964377380289
85.739997863770	-30.893913322268
85.849998474121	-30.821651390260
85.959999084473	-30.747549438888
86.069999694824	-30.671569833298
86.180000305176	-30.593666610063
86.290000915527	-30.513788238830
86.400001525879	-30.431879047516
86.510002136230	-30.347878471246
86.620002746582	-30.261721625276
86.730003356934	-30.173342984637
86.839996337891	-30.082679826997
86.949996948242	-29.989668141789
87.059997558594	-29.894240761577
87.169998168945	-29.796325520151
87.279998779297	-29.695845554290
87.389999389648	-29.592713677094
87.500000000000	-29.486841971671
87.610000610352	-29.378131171513
87.720001220703	-29.266484745364
87.830001831055	-29.151800185316
87.940002441406	-29.033975713439
88.050003051758	-28.912903316437
88.160003662109	-28.788466258817
88.269996643066	-28.660539670312
88.379997253418	-28.528981763629
88.489997863770	-28.393644124200
88.599998474121	-28.254365521420
88.709999084473	-28.110979763766
88.819999694824	-27.963311667890
88.930000305176	-27.811182564335
89.040000915527	-27.654401248679
89.150001525879	-27.492759918338
89.260002136230	-27.326035861842
89.370002746582	-27.153977249226
89.480003356934	-26.976316281179
89.589996337891	-26.792756706249
89.699996948242	-26.602982380078
89.809997558594	-26.406657511970
89.919998168945	-26.203419720185
90.029998779297	-25.992883619584
90.139999389648	-25.774625991106
90.250000000000	-25.548185783241
90.360000610352	-25.313052069315
